iter	Passed	Remaining
908	12999	1301
909	13016	1287
910	13031	1273
911	13046	1258
912	13061	1244
913	13075	1230
914	13089	1216
915	13104	1201
916	13119	1187
917	13134	1173
918	13151	1159
919	13166	1144
920	13181	1130
921	13198	1116
922	13215	1102
923	13231	1088
924	13246	1074
925	13262	1059
926	13280	1045
927	13297	1031
928	13311	1017
929	13329	1003
930	13345	989
931	13362	974
932	13377	960
933	13390	946
934	13399	931
935	13411	916
936	13423	902
937	13433	887
938	13444	873
939	13455	858
940	13465	844
941	13477	829
942	13488	815
943	13498	800
944	13518	786
945	13531	772
946	13545	758
947	13557	743
948	13569	729
949	13580	714
950	13593	700
951	13608	686
952	13622	671
953	13637	657
954	13652	643
955	13665	628
956	13678	614
957	13694	600
958	13707	586
959	13720	571
960	13730	557
961	13740	542
962	13751	528
963	13761	513
964	13773	499
965	13786	485
966	13799	470
967	13812	456
968	13824	442
969	13838	427
970	13851	413
971	13863	399
972	13872	384
973	13884	370
974	13894	356
975	13904	341
976	13915	327
977	13924	313
978	13934	298
979	13945	284
980	13955	270
981	13966	255
982	13976	241
983	13986	227
984	14001	213
985	14012	198
986	14022	184
987	14045	170
988	14053	156
989	14064	142
990	14077	127
991	14092	113
992	14106	99
993	14118	85
994	14131	71
995	14143	56
996	14152	42
997	14165	28
998	14176	14
999	14186	0
